id,en,de,es
myName,"Sebastian Paas",
myPhone,"+49 151 70073595"
myEmail,"paas.sebastian@pm.me"
aboutMeJs,"I’m a C++, JavaScript and TypeScript developer with over six years of professional experience building modern, high-performance web applications using React or Preact and Node.js.","Ich bin C++, JavaScript- und TypeScript-Entwickler mit über sechs Jahren Berufserfahrung in der Entwicklung moderner, leistungsstarker Webanwendungen mit React oder Preact und Node.js.","Soy desarrollador de C++, JavaScript y TypeScript con más de seis años de experiencia profesional creando aplicaciones web modernas y de alto rendimiento con React o Preact y Node.js."
aboutMeC,"With my Bachelor degree from DigiPen Europe–Bilbao, I also specialize in real-time interactive simulations developed in C++ and OpenGL, creating core systems such as physics and graphics entirely from scratch. Outside of work, I enjoy building games and spending time in the ocean surfing or diving.",Mit meinem Bachelor von DigiPen Europe–Bilbao bin ich zudem auf Echtzeit-Simulationen mit C++ und OpenGL spezialisiert und entwickle zentrale Systeme wie Physik- und Grafiksysteme vollständig von Grund auf neu. Abseits der Arbeit entwickle ich Spiele und verbringe gerne Zeit im Ozean beim Surfen oder Tauchen.,"Con mi título de grado de DigiPen Europe–Bilbao, también me especializo en simulaciones interactivas en tiempo real desarrolladas en C++ y OpenGL, creando sistemas centrales como la física y los gráficos completamente desde cero. Fuera del trabajo, disfruto creando videojuegos y pasando tiempo en el océano, practicando surf o buceo."
legal-notice,Legal Notice,Impressum,Aviso Legal
privacy-policy,Privacy Policy,Datenschutz,Política de Privacidad
privacy-policy-1,This website does not collect personal data except for emails sent via the contact form. Emails are used solely to respond to inquiries and are deleted after response.,"Diese Website sammelt keine personenbezogenen Daten, mit Ausnahme von E-Mails, die über das Kontaktformular gesendet werden. E-Mails werden ausschließlich zur Beantwortung von Anfragen verwendet und nach der Beantwortung gelöscht.","Este sitio web no recopila datos personales, salvo los correos electrónicos enviados a través del formulario de contacto. Los correos electrónicos se utilizan únicamente para responder a las consultas y se eliminan tras la respuesta."
privacy-policy-2,No data is shared with third parties.,Es werden keine Daten an Dritte weitergegeben.,No se comparten datos con terceros.
privacy-policy-3,"You have the right to access, correct, or delete your personal data. ","Sie haben das Recht, auf Ihre personenbezogenen Daten zuzugreifen, diese zu korrigieren oder zu löschen. ","Tienes derecho a acceder, corregir o eliminar tus datos personales. "
myStreet,Am Sonnenberg 2,,
myCity,56766 Ulmen,,
myCountry,Germany,Deutschland,Alemania
email,Email,E-Mail,E-Mail
phone,Phone,Telefon,Teléfono
contact,Contact,Kontakt,Contactar
en,English,,
de,Deutsch,,
es,Español,,
loading,Loading,Lädt,Cargando
download-cv,Download CV,Lebenslauf,Descargar CV
portfolio,Portfolio,Portfolio,Portafolio
3d-portfolio-tour,3D Portfolio Tour,3D Portfolio Tour,Recorrido por el portafolio en 3D
dive-in,Dive In,Tauch Ein,Sumérgete
recommendations,Professional Testimonials,Referenzen & Empfehlungen,Referencias y recomendaciones
myDegree,B.Sc. in Computer Science – Real-Time Interactive Simulation,,
go-to-startpage,Go to Startpage,Zur Startseite,Ir a la página de inicio
download,Download,Herunterladen,Descargar
job-certificate,Employment Reference,Arbeitszeugnis,Referencia laboral
quote-sprengnetter,Mr Paas stood out throughout his entire training period due to his exceptionally high and competent willingness to learn. He proved to be very resilient even under a very heavy workload.,"Herr Paas zeichnete sich während der gesamten Ausbildung durch eine ausgesprochen hohe, sehr gute Lernbereitschaft aus. Auch in Situationen mit größtem Arbeitsaufkommen erwies er sich immer als in höchstem Maße belastbar.",
quote-heuft,Mr Paas possesses extremely wide-ranging and in-depth specialist expertise which he applied excellently in practice at all times. Mr Paas was always an extremely motivated employee. He tackled difficult tasks with enthusiasm and always found sensible and practical solutions.,"Herr Paas verfügt über ein äußerst umfassendes und sehr fundiertes Fachwissen, das er jederzeit hervorragend in die Praxis umzusetzen wusste. Herr Pass war ein stets äußerst motivierter Mitarbeiter. Schwierige Aufgaben ging er mit großem Elan an und fand dabei immer sinnvolle und praktikable Lösungen. ",
